TOTAL POI INVENTORY & CRITICAL WEIGHT ANALYSIS 2026
==========================================================================================

CITY: BIALYSTOK
Total recognized POI types: 79
------------------------------------------------------------------------------------------
POI Type                       | Tier                 | Cnt   | Weight (Final) 
supermarket                    | T2_STRATEGIC_HUB     |   179 |      1148109.44
townhall                       | T2_STRATEGIC_HUB     |    16 |      1104995.47
department_store               | T2_STRATEGIC_HUB     |     6 |      1006777.73
government                     | T2_STRATEGIC_HUB     |    64 |       852381.70
fire_station                   | T2_STRATEGIC_HUB     |    34 |       700328.89
kindergarten                   | T3_LOCAL_CORE        |   118 |       152375.52
music_school                   | T3_LOCAL_CORE        |     1 |       124342.03
sports_hall                    | T3_LOCAL_CORE        |    28 |       121908.73
concert_hall                   | T3_LOCAL_CORE        |     2 |       107174.08
theatre                        | T3_LOCAL_CORE        |    11 |       105517.21
clinic                         | T3_LOCAL_CORE        |    32 |       103812.74
doctors                        | T3_LOCAL_CORE        |   105 |        83252.72
swimming_pool                  | T3_LOCAL_CORE        |    33 |        79106.17
language_school                | T3_LOCAL_CORE        |     3 |        69233.38
cinema                         | T3_LOCAL_CORE        |     9 |        67438.06
driving_school                 | T3_LOCAL_CORE        |    11 |        67110.36
dentist                        | T3_LOCAL_CORE        |    19 |        66218.48
library                        | T3_LOCAL_CORE        |    27 |        65645.78
park                           | T4_DAILY_SERVICE     |   221 |        16773.14
furniture                      | T4_DAILY_SERVICE     |    25 |        10889.84
place_of_worship               | T4_DAILY_SERVICE     |   141 |        10743.17
fuel                           | T4_DAILY_SERVICE     |    91 |         9295.04
garden                         | T4_DAILY_SERVICE     |   610 |         8463.03
bureau_de_change               | T4_DAILY_SERVICE     |    15 |         6660.41
hardware                       | T4_DAILY_SERVICE     |    17 |         6639.99
electronics                    | T4_DAILY_SERVICE     |    19 |         6621.85
pet                            | T4_DAILY_SERVICE     |    21 |         6605.53
optician                       | T4_DAILY_SERVICE     |    34 |         6527.05
bicycle_rental                 | T4_DAILY_SERVICE     |    62 |         6525.43
shoes                          | T4_DAILY_SERVICE     |    37 |         6513.30
butcher                        | T4_DAILY_SERVICE     |    49 |         6467.66
post_office                    | T4_DAILY_SERVICE     |    59 |         6437.53
florist                        | T4_DAILY_SERVICE     |    64 |         6424.35
charging_station               | T4_DAILY_SERVICE     |    78 |         6392.35
bakery                         | T4_DAILY_SERVICE     |    93 |         6363.96
bank                           | T4_DAILY_SERVICE     |    99 |         6353.88
pharmacy                       | T4_DAILY_SERVICE     |   160 |         6276.88
clothes                        | T4_DAILY_SERVICE     |   246 |         6208.65
convenience                    | T4_DAILY_SERVICE     |   271 |         6193.43
arts_centre                    | T5_SPEC_GASTRO       |     7 |         1551.65
food_court                     | T5_SPEC_GASTRO       |     4 |         1176.44
community_centre               | T5_SPEC_GASTRO       |    52 |         1026.51
car_wash                       | T5_SPEC_GASTRO       |    69 |          817.92
car_repair                     | T5_SPEC_GASTRO       |   144 |          764.12
nightclub                      | T5_SPEC_GASTRO       |     9 |          674.38
bar                            | T5_SPEC_GASTRO       |    25 |          657.71
pub                            | T5_SPEC_GASTRO       |    31 |          654.21
beauty                         | T5_SPEC_GASTRO       |    38 |          650.90
chemist                        | T5_SPEC_GASTRO       |    39 |          650.47
company                        | T5_SPEC_GASTRO       |    52 |          645.80
cafe                           | T5_SPEC_GASTRO       |    54 |          645.19
hairdresser                    | T5_SPEC_GASTRO       |    98 |          635.55
fast_food                      | T5_SPEC_GASTRO       |   114 |          633.12
restaurant                     | T5_SPEC_GASTRO       |   238 |          621.39
playground                     | T6_MICRO_INFRA       |   827 |            9.24
newsagent                      | T6_MICRO_INFRA       |    18 |            6.63
kiosk                          | T6_MICRO_INFRA       |    30 |            6.55
fountain                       | T6_MICRO_INFRA       |    31 |            6.54
picnic_table                   | T6_MICRO_INFRA       |    44 |            6.49
vending_machine                | T6_MICRO_INFRA       |    54 |            6.45
toilets                        | T6_MICRO_INFRA       |    67 |            6.42
atm                            | T6_MICRO_INFRA       |   149 |            6.29
parcel_locker                  | T6_MICRO_INFRA       |   656 |            6.06

==========================================================================================

CITY: CZESTOCHOWA
Total recognized POI types: 79
------------------------------------------------------------------------------------------
POI Type                       | Tier                 | Cnt   | Weight (Final) 
------------------------------------------------------------------------------------------
aerodrome                      | T0_MEGA_HUB          |     2 |    168490323.81
apron                          | T0_MEGA_HUB          |     3 |     88745372.39
hangar                         | T0_MEGA_HUB          |     6 |     67209761.99
