TOTAL POI INVENTORY & CRITICAL WEIGHT ANALYSIS 2026
==========================================================================================

CITY: BIALYSTOK
Total recognized POI types: 79
------------------------------------------------------------------------------------------
POI Type                       | Tier                 | Cnt   | Weight (Final) 
doctors                        | T3_LOCAL_CORE        |   734 |        73132.39
park                           | T4_DAILY_SERVICE     |  1122 |        20514.44
place_of_worship               | T4_DAILY_SERVICE     |  1395 |        11818.38
fuel                           | T4_DAILY_SERVICE     |   659 |         9338.70
garden                         | T4_DAILY_SERVICE     |  2333 |         9136.87
bureau_de_change               | T4_DAILY_SERVICE     |   125 |         7644.59
hardware                       | T4_DAILY_SERVICE     |   139 |         7624.63
pet                            | T4_DAILY_SERVICE     |   215 |         7542.67
shoes                          | T4_DAILY_SERVICE     |   253 |         7512.13
electronics                    | T4_DAILY_SERVICE     |   264 |         7504.15
optician                       | T4_DAILY_SERVICE     |   266 |         7502.73
furniture                      | T4_DAILY_SERVICE     |   301 |         7479.56
charging_station               | T4_DAILY_SERVICE     |   325 |         7465.19
post_office                    | T4_DAILY_SERVICE     |   384 |         7433.97
butcher                        | T4_DAILY_SERVICE     |   415 |         7419.46
florist                        | T4_DAILY_SERVICE     |   541 |         7369.98
bank                           | T4_DAILY_SERVICE     |   612 |         7347.01
bakery                         | T4_DAILY_SERVICE     |   879 |         7279.84
bicycle_rental                 | T4_DAILY_SERVICE     |   992 |         7257.50
pharmacy                       | T4_DAILY_SERVICE     |  1107 |         7237.29
clothes                        | T4_DAILY_SERVICE     |  1543 |         7176.46
convenience                    | T4_DAILY_SERVICE     |  3042 |         7054.52
arts_centre                    | T5_SPEC_GASTRO       |    83 |         1285.92
community_centre               | T5_SPEC_GASTRO       |   189 |         1114.15
car_wash                       | T5_SPEC_GASTRO       |   566 |          896.40
food_court                     | T5_SPEC_GASTRO       |    17 |          802.05
nightclub                      | T5_SPEC_GASTRO       |    56 |          779.58
bar                            | T5_SPEC_GASTRO       |   205 |          755.16
chemist                        | T5_SPEC_GASTRO       |   288 |          748.78
pub                            | T5_SPEC_GASTRO       |   349 |          745.19
cafe                           | T5_SPEC_GASTRO       |   438 |          740.94
beauty                         | T5_SPEC_GASTRO       |   527 |          737.49
car_repair                     | T5_SPEC_GASTRO       |   870 |          728.17
company                        | T5_SPEC_GASTRO       |   885 |          727.86
fast_food                      | T5_SPEC_GASTRO       |   906 |          727.42
hairdresser                    | T5_SPEC_GASTRO       |   990 |          725.79
restaurant                     | T5_SPEC_GASTRO       |  1690 |          715.99
playground                     | T6_MICRO_INFRA       |  3617 |           11.11
newsagent                      | T6_MICRO_INFRA       |   126 |            7.64
kiosk                          | T6_MICRO_INFRA       |   232 |            7.53
fountain                       | T6_MICRO_INFRA       |   307 |            7.48
toilets                        | T6_MICRO_INFRA       |   523 |            7.38
vending_machine                | T6_MICRO_INFRA       |   564 |            7.36
atm                            | T6_MICRO_INFRA       |   722 |            7.32
picnic_table                   | T6_MICRO_INFRA       |   975 |            7.26
parcel_locker                  | T6_MICRO_INFRA       |  2244 |            7.11

==========================================================================================

CITY: KIELCE
Total recognized POI types: 80
------------------------------------------------------------------------------------------
POI Type                       | Tier                 | Cnt   | Weight (Final) 
------------------------------------------------------------------------------------------
aerodrome                      | T0_MEGA_HUB          |     1 |    167810905.21
apron                          | T0_MEGA_HUB          |     4 |     72693694.75
hangar                         | T0_MEGA_HUB          |    12 |     54906576.78
terminal                       | T0_MEGA_HUB          |     3 |     33709099.94
station                        | T0_MEGA_HUB          |    27 |     31961191.20
exhibition_centre              | T1_REGIONAL_MAGNET   |     1 |     28749609.07
stadium                        | T1_REGIONAL_MAGNET   |     8 |     20691710.52
hospital                       | T1_REGIONAL_MAGNET   |    15 |     20156454.75
university                     | T1_REGIONAL_MAGNET   |    32 |      7773300.28
college                        | T1_REGIONAL_MAGNET   |     7 |      6606880.23
prison                         | T2_STRATEGIC_HUB     |     1 |      2586360.58
school                         | T2_STRATEGIC_HUB     |   162 |      1688140.40
mall                           | T2_STRATEGIC_HUB     |    16 |      1469215.17
courthouse                     | T2_STRATEGIC_HUB     |     5 |      1359667.28
townhall                       | T2_STRATEGIC_HUB     |    22 |      1106086.61
department_store               | T2_STRATEGIC_HUB     |     4 |      1061689.85
fire_station                   | T2_STRATEGIC_HUB     |    70 |       974521.27
police                         | T2_STRATEGIC_HUB     |    13 |       965845.19
social_facility                | T2_STRATEGIC_HUB     |    22 |       781612.74
government                     | T2_STRATEGIC_HUB     |    66 |       625076.86
supermarket                    | T2_STRATEGIC_HUB     |   141 |       613166.27
sports_hall                    | T3_LOCAL_CORE        |     6 |       148608.45
nursing_home                   | T3_LOCAL_CORE        |     1 |       135663.80
water_park                     | T3_LOCAL_CORE        |     2 |       130921.37
theatre                        | T3_LOCAL_CORE        |     9 |       123857.53
kindergarten                   | T3_LOCAL_CORE        |    85 |       119218.50
swimming_pool                  | T3_LOCAL_CORE        |     9 |        93259.44
music_school                   | T3_LOCAL_CORE        |     4 |        66959.95
cinema                         | T3_LOCAL_CORE        |     5 |        66604.56
language_school                | T3_LOCAL_CORE        |    19 |        64480.41
driving_school                 | T3_LOCAL_CORE        |    23 |        64176.92
library                        | T3_LOCAL_CORE        |    34 |        63556.75
clinic                         | T3_LOCAL_CORE        |    57 |        62739.07
dentist                        | T3_LOCAL_CORE        |    81 |        62185.06
doctors                        | T3_LOCAL_CORE        |    96 |        61918.05
park                           | T4_DAILY_SERVICE     |   114 |        16568.05
fuel                           | T4_DAILY_SERVICE     |    75 |        11227.84
garden                         | T4_DAILY_SERVICE     |  1056 |        10334.80
place_of_worship               | T4_DAILY_SERVICE     |   146 |         9962.28
charging_station               | T4_DAILY_SERVICE     |    13 |         6508.37
hardware                       | T4_DAILY_SERVICE     |    17 |         6465.72
pet                            | T4_DAILY_SERVICE     |    24 |         6410.93
bureau_de_change               | T4_DAILY_SERVICE     |    26 |         6398.23
furniture                      | T4_DAILY_SERVICE     |    28 |         6386.47
electronics                    | T4_DAILY_SERVICE     |    31 |         6370.32
shoes                          | T4_DAILY_SERVICE     |    43 |         6318.47
optician                       | T4_DAILY_SERVICE     |    46 |         6307.80
post_office                    | T4_DAILY_SERVICE     |    51 |         6291.48
bank                           | T4_DAILY_SERVICE     |    54 |         6282.45
florist                        | T4_DAILY_SERVICE     |    55 |         6279.55
bicycle_rental                 | T4_DAILY_SERVICE     |    62 |         6260.63
butcher                        | T4_DAILY_SERVICE     |    62 |         6260.63
bakery                         | T4_DAILY_SERVICE     |    94 |         6195.11
pharmacy                       | T4_DAILY_SERVICE     |   112 |         6167.64
clothes                        | T4_DAILY_SERVICE     |   284 |         6023.59
convenience                    | T4_DAILY_SERVICE     |   374 |         5981.89
car_wash                       | T5_SPEC_GASTRO       |    85 |          793.48
arts_centre                    | T5_SPEC_GASTRO       |    16 |          737.18
food_court                     | T5_SPEC_GASTRO       |     3 |          674.18
nightclub                      | T5_SPEC_GASTRO       |     5 |          666.05
bar                            | T5_SPEC_GASTRO       |     9 |          656.69
pub                            | T5_SPEC_GASTRO       |    13 |          650.84
community_centre               | T5_SPEC_GASTRO       |    25 |          640.45
chemist                        | T5_SPEC_GASTRO       |    40 |          632.99
cafe                           | T5_SPEC_GASTRO       |    53 |          628.54
car_repair                     | T5_SPEC_GASTRO       |    94 |          619.51
company                        | T5_SPEC_GASTRO       |   102 |          618.23
fast_food                      | T5_SPEC_GASTRO       |   171 |          610.17
beauty                         | T5_SPEC_GASTRO       |   177 |          609.63
hairdresser                    | T5_SPEC_GASTRO       |   189 |          608.62
restaurant                     | T5_SPEC_GASTRO       |   203 |          607.51
playground                     | T6_MICRO_INFRA       |   485 |            9.50
newsagent                      | T6_MICRO_INFRA       |    22 |            6.42
kiosk                          | T6_MICRO_INFRA       |    23 |            6.42
vending_machine                | T6_MICRO_INFRA       |    64 |            6.26
picnic_table                   | T6_MICRO_INFRA       |    80 |            6.22
toilets                        | T6_MICRO_INFRA       |    83 |            6.21
fountain                       | T6_MICRO_INFRA       |    83 |            6.21
atm                            | T6_MICRO_INFRA       |   100 |            6.19
parcel_locker                  | T6_MICRO_INFRA       |   301 |            6.01

==========================================================================================

CITY: KRAKOW
Total recognized POI types: 87
------------------------------------------------------------------------------------------
POI Type                       | Tier                 | Cnt   | Weight (Final) 
------------------------------------------------------------------------------------------
aerodrome                      | T0_MEGA_HUB          |     3 |    191126237.37
apron                          | T0_MEGA_HUB          |     7 |    125070631.22
hangar                         | T0_MEGA_HUB          |    40 |     67131874.90
ferry_terminal                 | T0_MEGA_HUB          |     8 |     37667707.52
station                        | T0_MEGA_HUB          |   100 |     35444669.87
terminal                       | T0_MEGA_HUB          |   120 |     35284652.27
exhibition_centre              | T1_REGIONAL_MAGNET   |     1 |     24763248.50
stadium                        | T1_REGIONAL_MAGNET   |    30 |     22635921.58
hospital                       | T1_REGIONAL_MAGNET   |    32 |     21056400.23
arena                          | T1_REGIONAL_MAGNET   |     1 |     15413566.06
college                        | T1_REGIONAL_MAGNET   |    17 |     10784665.56
faculty                        | T1_REGIONAL_MAGNET   |     2 |      7777876.16
university_department          | T1_REGIONAL_MAGNET   |    11 |      7477425.05
university                     | T1_REGIONAL_MAGNET   |   127 |      7046983.82
prison                         | T2_STRATEGIC_HUB     |     2 |      2341216.42
school                         | T2_STRATEGIC_HUB     |   589 |      1857879.02
mall                           | T2_STRATEGIC_HUB     |    51 |      1768088.03
hotel                          | T2_STRATEGIC_HUB     |     1 |      1137975.60
police                         | T2_STRATEGIC_HUB     |    39 |       988999.05
townhall                       | T2_STRATEGIC_HUB     |    17 |       931142.82
fire_station                   | T2_STRATEGIC_HUB     |   309 |       930554.07
social_facility                | T2_STRATEGIC_HUB     |    88 |       798920.52
department_store               | T2_STRATEGIC_HUB     |    11 |       747742.50
courthouse                     | T2_STRATEGIC_HUB     |    24 |       733998.76
government                     | T2_STRATEGIC_HUB     |   175 |       699079.48
supermarket                    | T2_STRATEGIC_HUB     |   396 |       684833.34
water_park                     | T3_LOCAL_CORE        |     2 |       197897.44
nursing_home                   | T3_LOCAL_CORE        |     5 |       160304.88
sports_hall                    | T3_LOCAL_CORE        |    21 |       147572.75
theatre                        | T3_LOCAL_CORE        |    36 |        80672.71
concert_hall                   | T3_LOCAL_CORE        |     1 |        79000.57
music_school                   | T3_LOCAL_CORE        |     5 |        76163.73
swimming_pool                  | T3_LOCAL_CORE        |   214 |        75718.88
cinema                         | T3_LOCAL_CORE        |    18 |        73906.59
driving_school                 | T3_LOCAL_CORE        |    31 |        72949.20
language_school                | T3_LOCAL_CORE        |    39 |        72545.05
library                        | T3_LOCAL_CORE        |   147 |        70213.40
clinic                         | T3_LOCAL_CORE        |   180 |        69858.63
dentist                        | T3_LOCAL_CORE        |   245 |        69319.56
doctors                        | T3_LOCAL_CORE        |   326 |        68821.51
kindergarten                   | T3_LOCAL_CORE        |   518 |        68018.11
park                           | T4_DAILY_SERVICE     |   377 |        18296.20
place_of_worship               | T4_DAILY_SERVICE     |   543 |        10854.41
fuel                           | T4_DAILY_SERVICE     |   204 |         9069.08
garden                         | T4_DAILY_SERVICE     |  5050 |         7623.42
bicycle_rental                 | T4_DAILY_SERVICE     |    11 |         7477.43
hardware                       | T4_DAILY_SERVICE     |    61 |         7175.80
furniture                      | T4_DAILY_SERVICE     |    75 |         7139.48
electronics                    | T4_DAILY_SERVICE     |    81 |         7125.95
pet                            | T4_DAILY_SERVICE     |    83 |         7121.66
bureau_de_change               | T4_DAILY_SERVICE     |    98 |         7092.48
shoes                          | T4_DAILY_SERVICE     |   113 |         7067.48
butcher                        | T4_DAILY_SERVICE     |   124 |         7051.18
optician                       | T4_DAILY_SERVICE     |   136 |         7034.98
charging_station               | T4_DAILY_SERVICE     |   182 |         6983.93
post_office                    | T4_DAILY_SERVICE     |   193 |         6973.66
bank                           | T4_DAILY_SERVICE     |   202 |         6965.69
florist                        | T4_DAILY_SERVICE     |   247 |         6930.54
pharmacy                       | T4_DAILY_SERVICE     |   431 |         6833.64
bakery                         | T4_DAILY_SERVICE     |   442 |         6829.27
clothes                        | T4_DAILY_SERVICE     |   688 |         6752.92
convenience                    | T4_DAILY_SERVICE     |  1337 |         6640.06
food_court                     | T5_SPEC_GASTRO       |    17 |         1057.69
car_wash                       | T5_SPEC_GASTRO       |   232 |          855.82
community_centre               | T5_SPEC_GASTRO       |   116 |          793.42
office                         | T5_SPEC_GASTRO       |     2 |          777.79
arts_centre                    | T5_SPEC_GASTRO       |    40 |          725.00
nightclub                      | T5_SPEC_GASTRO       |    41 |          724.57
chemist                        | T5_SPEC_GASTRO       |   109 |          707.38
pub                            | T5_SPEC_GASTRO       |   117 |          706.14
bar                            | T5_SPEC_GASTRO       |   157 |          700.98
company                        | T5_SPEC_GASTRO       |   330 |          688.00
car_repair                     | T5_SPEC_GASTRO       |   372 |          685.92
beauty                         | T5_SPEC_GASTRO       |   407 |          684.36
cafe                           | T5_SPEC_GASTRO       |   476 |          681.64
hairdresser                    | T5_SPEC_GASTRO       |   667 |          675.82
fast_food                      | T5_SPEC_GASTRO       |   894 |          670.81
restaurant                     | T5_SPEC_GASTRO       |  1074 |          667.70
playground                     | T6_MICRO_INFRA       |  1787 |            9.71
newsagent                      | T6_MICRO_INFRA       |    38 |            7.26
kiosk                          | T6_MICRO_INFRA       |   105 |            7.08
fountain                       | T6_MICRO_INFRA       |   118 |            7.06
toilets                        | T6_MICRO_INFRA       |   300 |            6.90
picnic_table                   | T6_MICRO_INFRA       |   470 |            6.82
atm                            | T6_MICRO_INFRA       |   639 |            6.77
vending_machine                | T6_MICRO_INFRA       |   943 |            6.70
parcel_locker                  | T6_MICRO_INFRA       |  1680 |            6.60

==========================================================================================

CITY: KUTNO
Total recognized POI types: 65
------------------------------------------------------------------------------------------
POI Type                       | Tier                 | Cnt   | Weight (Final) 
------------------------------------------------------------------------------------------
station                        | T0_MEGA_HUB          |     2 |     27140048.24
hospital                       | T1_REGIONAL_MAGNET   |     1 |     20571174.08
stadium                        | T1_REGIONAL_MAGNET   |     1 |     17358892.83
college                        | T1_REGIONAL_MAGNET   |     2 |     13605680.28
mall                           | T2_STRATEGIC_HUB     |     2 |      1575023.99
social_facility                | T2_STRATEGIC_HUB     |     4 |      1536979.68
school                         | T2_STRATEGIC_HUB     |    21 |      1446954.38
police                         | T2_STRATEGIC_HUB     |     2 |      1420953.92
courthouse                     | T2_STRATEGIC_HUB     |     1 |      1043689.42
supermarket                    | T2_STRATEGIC_HUB     |    20 |       970325.67
townhall                       | T2_STRATEGIC_HUB     |     2 |       870255.27
government                     | T2_STRATEGIC_HUB     |     9 |       850675.11
fire_station                   | T2_STRATEGIC_HUB     |     5 |       812097.09
water_park                     | T3_LOCAL_CORE        |     1 |       146998.61
driving_school                 | T3_LOCAL_CORE        |     1 |       143677.29
theatre                        | T3_LOCAL_CORE        |     1 |        98236.57
sports_hall                    | T3_LOCAL_CORE        |     3 |        96990.10
kindergarten                   | T3_LOCAL_CORE        |    10 |        96707.09
music_school                   | T3_LOCAL_CORE        |     1 |        96394.67
library                        | T3_LOCAL_CORE        |     2 |        91688.54
doctors                        | T3_LOCAL_CORE        |     8 |        80397.24
clinic                         | T3_LOCAL_CORE        |     2 |        79158.06
swimming_pool                  | T3_LOCAL_CORE        |     4 |        73108.69
language_school                | T3_LOCAL_CORE        |     1 |        55212.34
cinema                         | T3_LOCAL_CORE        |     1 |        55212.34
park                           | T4_DAILY_SERVICE     |     7 |        14771.04
garden                         | T4_DAILY_SERVICE     |    22 |         8900.80
place_of_worship               | T4_DAILY_SERVICE     |    17 |         8666.76
hardware                       | T4_DAILY_SERVICE     |     4 |         7381.25
bicycle_rental                 | T4_DAILY_SERVICE     |    17 |         5713.95
bureau_de_change               | T4_DAILY_SERVICE     |     1 |         5521.23
charging_station               | T4_DAILY_SERVICE     |     2 |         5428.01
pet                            | T4_DAILY_SERVICE     |     2 |         5428.01
optician                       | T4_DAILY_SERVICE     |     2 |         5428.01
post_office                    | T4_DAILY_SERVICE     |     3 |         5373.58
butcher                        | T4_DAILY_SERVICE     |     4 |         5335.04
electronics                    | T4_DAILY_SERVICE     |     4 |         5335.04
shoes                          | T4_DAILY_SERVICE     |     5 |         5305.19
bakery                         | T4_DAILY_SERVICE     |     6 |         5280.86
furniture                      | T4_DAILY_SERVICE     |     9 |         5226.92
florist                        | T4_DAILY_SERVICE     |    13 |         5178.32
bank                           | T4_DAILY_SERVICE     |    16 |         5151.05
fuel                           | T4_DAILY_SERVICE     |    18 |         5135.66
pharmacy                       | T4_DAILY_SERVICE     |    20 |         5121.94
clothes                        | T4_DAILY_SERVICE     |    30 |         5069.67
convenience                    | T4_DAILY_SERVICE     |    55 |         4993.76
community_centre               | T5_SPEC_GASTRO       |     3 |          979.53
car_repair                     | T5_SPEC_GASTRO       |    10 |          788.55
company                        | T5_SPEC_GASTRO       |     5 |          711.22
fast_food                      | T5_SPEC_GASTRO       |     8 |          698.84
car_wash                       | T5_SPEC_GASTRO       |     8 |          599.22
arts_centre                    | T5_SPEC_GASTRO       |     1 |          552.12
beauty                         | T5_SPEC_GASTRO       |     2 |          542.80
hairdresser                    | T5_SPEC_GASTRO       |     4 |          533.50
bar                            | T5_SPEC_GASTRO       |     4 |          533.50
chemist                        | T5_SPEC_GASTRO       |     5 |          530.52
cafe                           | T5_SPEC_GASTRO       |     6 |          528.09
restaurant                     | T5_SPEC_GASTRO       |    14 |          516.86
playground                     | T6_MICRO_INFRA       |    36 |            8.75
kiosk                          | T6_MICRO_INFRA       |     1 |            6.00
fountain                       | T6_MICRO_INFRA       |     6 |            5.80
newsagent                      | T6_MICRO_INFRA       |     1 |            5.52
toilets                        | T6_MICRO_INFRA       |     6 |            5.28
atm                            | T6_MICRO_INFRA       |    12 |            5.19
parcel_locker                  | T6_MICRO_INFRA       |    39 |            5.04

==========================================================================================

CITY: LEGNICA
Total recognized POI types: 72
------------------------------------------------------------------------------------------
POI Type                       | Tier                 | Cnt   | Weight (Final) 
------------------------------------------------------------------------------------------
aerodrome                      | T0_MEGA_HUB          |     1 |     30844164.13
terminal                       | T0_MEGA_HUB          |     1 |     30844164.13
station                        | T0_MEGA_HUB          |    13 |     28966968.83
hospital                       | T1_REGIONAL_MAGNET   |     1 |     26650439.96
stadium                        | T1_REGIONAL_MAGNET   |     2 |     18198883.97
university                     | T1_REGIONAL_MAGNET   |     3 |     18184818.33
mall                           | T2_STRATEGIC_HUB     |     7 |      1830722.40
school                         | T2_STRATEGIC_HUB     |    46 |      1476392.23
supermarket                    | T2_STRATEGIC_HUB     |    45 |      1027881.97
social_facility                | T2_STRATEGIC_HUB     |     8 |       821759.99
fire_station                   | T2_STRATEGIC_HUB     |    24 |       775765.25
courthouse                     | T2_STRATEGIC_HUB     |     4 |       596559.42
police                         | T2_STRATEGIC_HUB     |     6 |       590625.49
townhall                       | T2_STRATEGIC_HUB     |     6 |       590625.49
government                     | T2_STRATEGIC_HUB     |    28 |       568213.55
water_park                     | T3_LOCAL_CORE        |     3 |       180812.74
theatre                        | T3_LOCAL_CORE        |     2 |       106824.81
kindergarten                   | T3_LOCAL_CORE        |    32 |        99562.91
swimming_pool                  | T3_LOCAL_CORE        |     6 |        80830.23
music_school                   | T3_LOCAL_CORE        |     2 |        60671.67
cinema                         | T3_LOCAL_CORE        |     2 |        60671.67
clinic                         | T3_LOCAL_CORE        |     4 |        59655.94
driving_school                 | T3_LOCAL_CORE        |     4 |        59655.94
sports_hall                    | T3_LOCAL_CORE        |     5 |        59329.28
dentist                        | T3_LOCAL_CORE        |    10 |        58316.33
doctors                        | T3_LOCAL_CORE        |    18 |        57460.81
library                        | T3_LOCAL_CORE        |    20 |        57307.98
park                           | T4_DAILY_SERVICE     |    34 |        15110.89
garden                         | T4_DAILY_SERVICE     |   181 |        11281.06
place_of_worship               | T4_DAILY_SERVICE     |    84 |         8832.10
hardware                       | T4_DAILY_SERVICE     |     2 |         6067.17
pet                            | T4_DAILY_SERVICE     |     3 |         6007.73
bicycle_rental                 | T4_DAILY_SERVICE     |     4 |         5965.59
electronics                    | T4_DAILY_SERVICE     |     6 |         5906.25
bureau_de_change               | T4_DAILY_SERVICE     |     6 |         5906.25
butcher                        | T4_DAILY_SERVICE     |     8 |         5864.21
shoes                          | T4_DAILY_SERVICE     |     9 |         5847.01
furniture                      | T4_DAILY_SERVICE     |    10 |         5831.63
optician                       | T4_DAILY_SERVICE     |    11 |         5817.73
charging_station               | T4_DAILY_SERVICE     |    11 |         5817.73
florist                        | T4_DAILY_SERVICE     |    22 |         5716.99
bank                           | T4_DAILY_SERVICE     |    23 |         5710.56
post_office                    | T4_DAILY_SERVICE     |    25 |         5698.50
bakery                         | T4_DAILY_SERVICE     |    27 |         5687.38
fuel                           | T4_DAILY_SERVICE     |    28 |         5682.14
clothes                        | T4_DAILY_SERVICE     |    46 |         5610.89
pharmacy                       | T4_DAILY_SERVICE     |    47 |         5607.83
convenience                    | T4_DAILY_SERVICE     |   101 |         5500.33
office                         | T5_SPEC_GASTRO       |     1 |         1122.85
arts_centre                    | T5_SPEC_GASTRO       |    10 |          935.30
car_wash                       | T5_SPEC_GASTRO       |    23 |          708.76
pub                            | T5_SPEC_GASTRO       |     2 |          606.72
nightclub                      | T5_SPEC_GASTRO       |     4 |          596.56
bar                            | T5_SPEC_GASTRO       |    10 |          583.16
chemist                        | T5_SPEC_GASTRO       |    12 |          580.51
community_centre               | T5_SPEC_GASTRO       |    12 |          580.51
cafe                           | T5_SPEC_GASTRO       |    13 |          579.34
beauty                         | T5_SPEC_GASTRO       |    15 |          577.26
company                        | T5_SPEC_GASTRO       |    21 |          572.37
car_repair                     | T5_SPEC_GASTRO       |    22 |          571.70
fast_food                      | T5_SPEC_GASTRO       |    34 |          565.42
hairdresser                    | T5_SPEC_GASTRO       |    38 |          563.82
restaurant                     | T5_SPEC_GASTRO       |    54 |          558.81
playground                     | T6_MICRO_INFRA       |   109 |            8.47
newsagent                      | T6_MICRO_INFRA       |     3 |            6.01
kiosk                          | T6_MICRO_INFRA       |     8 |            5.99
picnic_table                   | T6_MICRO_INFRA       |    11 |            5.82
fountain                       | T6_MICRO_INFRA       |    12 |            5.81
toilets                        | T6_MICRO_INFRA       |    19 |            5.74
atm                            | T6_MICRO_INFRA       |    20 |            5.73
vending_machine                | T6_MICRO_INFRA       |    46 |            5.61
parcel_locker                  | T6_MICRO_INFRA       |    85 |            5.52

==========================================================================================

CITY: LESZNO
Total recognized POI types: 72
------------------------------------------------------------------------------------------
POI Type                       | Tier                 | Cnt   | Weight (Final) 
------------------------------------------------------------------------------------------
aerodrome                      | T0_MEGA_HUB          |     2 |    138995199.65
apron                          | T0_MEGA_HUB          |     3 |     76083167.41
hangar                         | T0_MEGA_HUB          |    18 |     44013867.16
terminal                       | T0_MEGA_HUB          |     2 |     29372020.90
station                        | T0_MEGA_HUB          |     9 |     28305308.13
hospital                       | T1_REGIONAL_MAGNET   |     3 |     14711306.19
university                     | T1_REGIONAL_MAGNET   |     3 |     14512299.55
stadium                        | T1_REGIONAL_MAGNET   |     4 |     14502341.08
college                        | T1_REGIONAL_MAGNET   |    21 |      5541625.93
mall                           | T2_STRATEGIC_HUB     |    10 |      1578772.15
school                         | T2_STRATEGIC_HUB     |    55 |      1051062.05
social_facility                | T2_STRATEGIC_HUB     |     8 |      1002336.50
supermarket                    | T2_STRATEGIC_HUB     |    50 |       987758.63
courthouse                     | T2_STRATEGIC_HUB     |     3 |       900228.13
townhall                       | T2_STRATEGIC_HUB     |     7 |       891595.18
fire_station                   | T2_STRATEGIC_HUB     |    14 |       751300.46
department_store               | T2_STRATEGIC_HUB     |     1 |       597293.03
police                         | T2_STRATEGIC_HUB     |    12 |       562041.06
government                     | T2_STRATEGIC_HUB     |    33 |       547842.61
cinema                         | T3_LOCAL_CORE        |     1 |       131407.33
theatre                        | T3_LOCAL_CORE        |     1 |       116627.10
swimming_pool                  | T3_LOCAL_CORE        |     3 |        95541.86
kindergarten                   | T3_LOCAL_CORE        |    42 |        73320.25
language_school                | T3_LOCAL_CORE        |     2 |        58744.04
clinic                         | T3_LOCAL_CORE        |     3 |        58168.09
driving_school                 | T3_LOCAL_CORE        |     6 |        57184.70
dentist                        | T3_LOCAL_CORE        |    11 |        56326.97
library                        | T3_LOCAL_CORE        |    12 |        56204.11
doctors                        | T3_LOCAL_CORE        |    35 |        54702.38
park                           | T4_DAILY_SERVICE     |    47 |        14937.61
place_of_worship               | T4_DAILY_SERVICE     |    36 |         8946.53
garden                         | T4_DAILY_SERVICE     |    30 |         8838.88
charging_station               | T4_DAILY_SERVICE     |     2 |         5874.40
pet                            | T4_DAILY_SERVICE     |     5 |         5744.32
hardware                       | T4_DAILY_SERVICE     |     7 |         5696.63
electronics                    | T4_DAILY_SERVICE     |     8 |         5677.73
bureau_de_change               | T4_DAILY_SERVICE     |    11 |         5632.70
optician                       | T4_DAILY_SERVICE     |    11 |         5632.70
furniture                      | T4_DAILY_SERVICE     |    19 |         5555.68
post_office                    | T4_DAILY_SERVICE     |    21 |         5541.63
shoes                          | T4_DAILY_SERVICE     |    21 |         5541.63
butcher                        | T4_DAILY_SERVICE     |    22 |         5535.10
bakery                         | T4_DAILY_SERVICE     |    23 |         5528.87
fuel                           | T4_DAILY_SERVICE     |    24 |         5522.91
florist                        | T4_DAILY_SERVICE     |    26 |         5511.70
bank                           | T4_DAILY_SERVICE     |    32 |         5482.71
pharmacy                       | T4_DAILY_SERVICE     |    35 |         5470.24
convenience                    | T4_DAILY_SERVICE     |    89 |         5342.33
clothes                        | T4_DAILY_SERVICE     |   106 |         5318.96
bar                            | T5_SPEC_GASTRO       |     4 |          577.60
nightclub                      | T5_SPEC_GASTRO       |     5 |          574.43
arts_centre                    | T5_SPEC_GASTRO       |     7 |          569.66
community_centre               | T5_SPEC_GASTRO       |    11 |          563.27
pub                            | T5_SPEC_GASTRO       |    12 |          562.04
chemist                        | T5_SPEC_GASTRO       |    14 |          559.87
cafe                           | T5_SPEC_GASTRO       |    14 |          559.87
fast_food                      | T5_SPEC_GASTRO       |    15 |          558.89
beauty                         | T5_SPEC_GASTRO       |    25 |          551.72
car_wash                       | T5_SPEC_GASTRO       |    26 |          551.17
hairdresser                    | T5_SPEC_GASTRO       |    30 |          549.17
car_repair                     | T5_SPEC_GASTRO       |    37 |          546.25
company                        | T5_SPEC_GASTRO       |    41 |          544.83
restaurant                     | T5_SPEC_GASTRO       |    67 |          538.08
playground                     | T6_MICRO_INFRA       |   104 |            8.11
newsagent                      | T6_MICRO_INFRA       |     2 |            5.87
fountain                       | T6_MICRO_INFRA       |     6 |            5.72
kiosk                          | T6_MICRO_INFRA       |     8 |            5.68
vending_machine                | T6_MICRO_INFRA       |    11 |            5.63
toilets                        | T6_MICRO_INFRA       |    13 |            5.61
picnic_table                   | T6_MICRO_INFRA       |    16 |            5.58
atm                            | T6_MICRO_INFRA       |    30 |            5.49
parcel_locker                  | T6_MICRO_INFRA       |    67 |            5.38

==========================================================================================

CITY: LODZ
Total recognized POI types: 79
------------------------------------------------------------------------------------------
POI Type                       | Tier                 | Cnt   | Weight (Final) 
------------------------------------------------------------------------------------------
aerodrome                      | T0_MEGA_HUB          |     2 |    187430773.75
apron                          | T0_MEGA_HUB          |     1 |    147639123.47
hangar                         | T0_MEGA_HUB          |    18 |     62881710.04
terminal                       | T0_MEGA_HUB          |    22 |     35478733.51
station                        | T0_MEGA_HUB          |    39 |     34985688.65
hospital                       | T1_REGIONAL_MAGNET   |    36 |     22736199.28
stadium                        | T1_REGIONAL_MAGNET   |    12 |     22207564.31
college                        | T1_REGIONAL_MAGNET   |    23 |     19906528.18
university                     | T1_REGIONAL_MAGNET   |    69 |     18963551.74
